ticker,name,locale,currency
AAYYY,Austrailian Agricultural Company Ltd Unsponsored ADR (Austrailia),US,USD
AAZZF,A2Z Smart Technologies Corp Common Stock,US,USD
AB,"AllianceBernstein Holding, L.P.",US,USD
ABAC,Agroback AD,US,RSD
ABAHF,Abacus Health Products Inc,US,USD
ABAKF,ABERDEEN ASIA-PACIFIC INCOME Ordinary Shares,US,USD
ABANF,Automatic Bank Services Ltd Ordinary Shares (Israel),US,USD
ABASF,Aberdeen Asian Smaller Company Investment Trust,US,USD
ABAT,Advanced Battery Technologies Inc.,US,USD
ABAX,Abaxis Inc.,US,USD
ABB,ABB Ltd.,US,USD
ABBAF,Aberdeen Asian Income Fund Ordinary Shares (Jersey),US,USD
ABBB,"Auburn Bancorp, Inc. Common Stock",US,USD
ABBCL,Associated Banc-Corp.,US,USD
ABBRF,Abraplata Resource Corp Ordinary Shares (Canada),US,USD
ABBV,ABBVIE INC.,US,USD
ABBY,"Abby, Inc  Common Stock",US,USD
ABC,AmerisourceBergen Corp.,US,USD
ABCAF,Athabasca Minerals Inc Common Shares (Canada),US,USD
ABCB,Ameris Bancorp Common Stock,US,USD
ABCD,Cambium Learning Group Inc,US,USD
ABCE,"ABCO Energy, Inc Common Stock",US,USD
ABCED,"ABCO Energy, Inc Common Stock",US,USD
ABCFF,Abacus Mining & Exploration Corporation Common Shares,US,USD
ABCL,AbCellera Biologics Inc. Common Shares,US,USD
ABCM,Abcam plc American Depositary Shares,US,USD
ABCO,Arab Banking Corporation (Jordan),US,JOD
ABCP,AmBase Corporation Common Stock,US,USD
ABCR,ABC-NACO Inc.,US,USD
ABCW,Anchor Bancorp Wisconsin Inc.,US,USD
ABCXF,Asia Bio-Chem Group Corp,US,USD
ABCZF,Abcam PLC Ordinary Shares (United Kingdom),US,USD
ABCZY,Abcam PLC Unsponsored ADR (United Kingdom),US,USD
ABDBY,ALM BRAND A/S ADR (Denmark),US,USD
ABDC,Alcentra Capital Corp,US,USD
ABDDF,Ab Dynamics PLC Ordinary Shares (United Kingdom),US,USD
ABDNF,Aberdeen Asset Management,US,USD
ABDNY,Aberdeen Asset Management,US,USD
ABDR,Ambassador Food Services Corporation New Common Stock,US,USD
ABDTF,Aberdeen New Dawn Investment Trust plc,US,USD
ABE,AB S.A.,US,PLN
ABEC,Analytica Bio-Energy Corp. Common Stock,US,CHF
ABENU,Advanced Bioenergy LLC Membership Unit,US,USD
ABEO,Abeona Therapeutics Inc. Common Stock,US,USD
ABEOF,Aberdeen Smaller Companies High Income Trust Plc,US,USD
ABEOW,Abeona Therapeutics Inc,US,USD
ABEPF,Vision Lithium Inc Ordinary Shares,US,USD
ABEQ,Absolute Core Strategy ETF,US,USD
ABETF,Supernova Metals Corp Common Shares,US,USD
ABEV,AMBEV S.A.,US,USD
ABEYF,Abbey Plc Ordinary Shares (Ireland),US,USD
ABFOF,Abertis Infraestructuras SA Ordinary Shares (Spain),US,USD
ABFRF,Aberforth Smaller Companies Trust PLC Ordinary Shares (United Kingdom),US,USD
ABFXF,ABF Pan Asia Bond Index Fund Units (Singapore),US,USD
ABG,"Asbury Automotive Group, Inc.",US,USD
ABGB,Abengoa,US,USD
ABGBY,Abengoa,US,USD
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,US,USD
ABGLF,ACACIA MNG PLC Common Shares,US,USD
ABGLY,Acacia Mining Plc,US,USD
ABGOF,Abengoa Sa Ordinary Shares (Spain),US,USD
ABGOY,Abengoa Sa Unsponsored ADR (Spain),US,USD
ABGSF,ABG Sundal Collier ASA Ordinary Shares (Norway),US,USD
ABHBY,Alfen Beheer B.V. ADR (Netherlands),US,USD
ABHD,Abtech Holdings Inc,US,USD
ABHI,AmbiCom Holdings Inc,US,USD
ABIL,Ability Inc,US,ILS
ABILF,Ability Inc.  Ordinary Shares,US,USD
ABILW,Ability Inc,US,USD
ABIO,"ARCA biopharma, Inc. Common Stock",US,USD
ABIWF,Ability Inc,US,USD
ABIZF,Abington Resources Ltd,US,USD
ABKB,"American Basketball Association, Inc. Common Stock",US,USD
ABKH,"American Bank Holdings, Inc.",US,USD
ABKI,Abakan Inc,US,USD
ABLE,"Able Energy, Inc. Common Stock",US,USD
ABLGF,Alten Boulogne-Billancourt Ordinary Shares (France),US,USD
ABLT,American Biltrite Inc. Common Stock,US,USD
ABLX,Ablynx,US,USD
ABLYF,Ablynx,US,USD
ABLZF,Abb Ltd Reg Ordinary Shares,US,USD
ABM,"ABM Industries, Inc.",US,USD
ABMAF,Albioma Ordinary Shares (France),US,USD
ABMBF,Abcourt Mines Inc Cl-B (F) Ordinary Shares,US,USD
ABMC,American Bio Medica Corp. Common Stock,US,USD
ABMD,"ABIOMED, Inc. Common Stock",US,USD
ABML,American Battery Metals Corporation Common Stock,US,USD
ABMMF,Prodigy Gold NL,US,USD
ABMRF,ABN Amro BK NV Depositary Receipts (Netherlands),US,USD
ABMT,"Advanced BioMedical Technologies, Inc. Common Stock",US,USD
ABNAF,"Aben Resources, Ltd. Ordinary Shares",US,USD
ABNB,"Airbnb, Inc. Class A Common Stock",US,USD
ABNC,"American Bancorp, Inc. (LA) Common Stock",US,USD
ABNK,AltaPacific Bancorp.,US,USD
ABNRY,ABN Amro Group N.V,US,USD
ABOIF,Aboitiz Equity Ventures Inc Ordinary Shares (Philippines),US,USD
ABPA,Allegiance Bank of North America (PA) Common Stock,US,USD
ABPGF,ALIBABA PICTURES GROUP Ltd SHS (Bermuda),US,USD
ABPI,Accentia Biopharmaceuticals Inc,US,USD
ABPPF,Abacus Property Group Fully Paid Ord Units Stapled Securities (Australia),US,USD
ABPR,"Airborne Security & Protective Services, Inc. New Common Stock",US,USD
ABQQ,AB INTL GROUP CORP Common Stock,US,USD
ABQQD,AB International Group Corp,US,USD
ABR,"Arbor Realty Trust, Inc.",US,USD
ABR-A,"Arbor Realty Trust, Inc 8.250% Series A Cumulative Redeemable Preferred Stock",US,USD
ABR-B,"Arbor Realty Trust, Inc. 7.75% Series B Preferred",US,USD
ABR-C,"Arbor Realty Trust, Inc. 8.50% Series C Cumulative Redeemable Preferred Stock, Liquidation Preferenc",US,USD
ABRDF,Aberdeen New Thai Investment Trust,US,USD
ABRN,Arbor Realty Trust Inc.,US,USD
ABRTY,"Abertis Infraestructuras, S.A.",US,USD
ABRUF,AMERICAN PAC BURATE & LITHIUM LTD Ord Shs Fully Paid (Australia),US,USD
ABSCF,"AB Science, Paris Ordinary Shares (France)",US,USD
ABSOF,ABS-CBN  Holdings Corporation Phillipine Depositary Receipts Representing 1 Share (Phillipines),US,USD
ABSR,American Business Services Inc. Com,US,USD
ABSSF,Airboss Of America Corp New Ordinary Shares,US,USD
ABST,Absolute Software Corporation Common Stock,US,USD
ABT,Abbott Laboratories,US,USD
ABTBF,AB-Biotics S.A.,US,USD
ABTI,"Alterola Biotech, Inc. Common Stock",US,USD
ABTO,AB&T Financial Corporation (NC) Common Stock,US,USD
ABTPF,Aubay Technology Levallors Perrett Ordinary Shares (France),US,USD
ABTX,"Allegiance Bancshares, Inc. Common Stock",US,USD
ABTZY,Aboitiz Equity Ventures Inc. Unsponsored ADR (Phillipines),US,USD
ABUS,Arbutus Biopharma Corporation Common Stock,US,USD
ABVC,American BriVision (Holding) Corporation Common Stock,US,USD
ABVG,"Affinity Beverage Group, Inc. Common Stock",US,USD
ABVN,ABV CONSULTING INC Common Stock,US,USD
ABWAF,Aditya Birla Minerals,US,USD
ABWG,A B Watley Group Inc,US,USD
ABWN,Airborne Wireless Network Common Stock,US,USD
ABXXF,ABAXX Technologies Inc. Common Shares (Canada),US,USD
ABYB,Amboy Bancorporation Common Stock,US,USD
ABZPF,Aboitiz Power Corp. Ordinary Shares (Phillippines),US,USD
ABZPY,Aboitiz Power Corp. Unsponsored ADR (Phillipines),US,USD
ABZT,"Ablaze Technologies, Inc. Common Stock",US,USD
ABZUF,"Abzu Gold, Ltd. Ordinary Shares (Canada)",US,USD
AC,"Associated Capital Group, Inc.",US,USD
ACA,"Arcosa, Inc. Common Stock",US,USD
ACAC,Acies Acquisition Corp. Class A Ordinary Share,US,USD
ACACU,Acies Acquisition Corp. Unit,US,USD
ACACW,Acies Acquisition Corp. Warrant,US,USD
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,US,USD
ACAI,Safeplus International Holdings Limited Common Stock,US,USD
ACAL,America California Bank (CA),US,USD
ACAM,Acamar Partners Acquisition Corp. Class A Common Stock,US,USD
ACAMU,Acamar Partners Acquisition Corp. Units,US,USD
ACAMW,Acamar Partners Acquisition Corp. Warrant,US,USD
ACAN,"Americann, Inc. Common Stock",US,USD
ACARQ,Activecare Inc,US,USD
ACAS,American Capital Ltd,US,USD
ACAT,Arctic Cat Inc.,US,USD
ACAVF,ACE Aviation Holdings Inc Common Shares (Canada),US,USD
ACAXP,Annaly Capital Management Inc,US,USD
ACAZF,Acadian Timber Corporation Ordinary Shares (Canada),US,USD
ACB,Aurora Cannabis Inc. Common Shares,US,USD
ACBCQ,Albina Community Bancorp (OR) Common Stock,US,USD
ACBD,Annabidiol Corp. Common Stock,US,USD
ACBI,"Atlantic Capital Bancshares, Inc. Common Stock",US,USD
ACBM,"Acro Biomedical Co., Ltd. Common Stock",US,USD
ACC,"American Campus Communities, Inc.",US,USD
ACCA,"Acacia Diversified Holdings, Inc. Common Stock",US,USD
ACCCF,Accton Technology Corp.,US,USD
ACCD,"Accolade, Inc. Common Stock",US,USD
ACCDF,Acencia Debt Strategies,US,USD
ACCE,Accres Holding Inc,US,USD
ACCFF,Accord Financial Corp Ordinary Shares (Canada),US,USD
ACCKF,Amica Mature Lifestyles Inc.,US,USD
ACCLL,AL-Corn Clean Fuel LLC Unit Limited Partnership Class A,US,USD
ACCMF,AAC CLYDE SPACE Common Stock,US,USD
ACCO,Acco Brands Corporation,US,USD
ACCR,"Access-Power & Co, Inc. Common Stock",US,USD
ACCS,African Copper Corp,US,USD
ACCU,AdvisorShares Accuvest Global Opportunities ETF,US,USD
ACCYY,Accor S A American Depositary Receipts - Sponsored (France),US,USD
ACDSF,Ascendas Real Estate Investment Trust Units,US,USD
ACDU,Accredited Business Consolidators Corp,US,USD
ACDVF,Air Canada Inc Vtg & Var Vtg Shares (Canada),US,USD
ACEEU,Ace Ethanol LLC Unit,US,USD
ACEHF,Ace Hardware Indonesia Tbk Ordinary Shares (Indonesia),US,USD
ACEJF,ACEA S.P.A. SHS (Italy),US,USD
ACEL,"Accel Entertainment, Inc.",US,USD
ACEL.WS,"Accel Entertainment, Inc. Warrant, to purchase one Class A-1 Common Stock at an exercise price of $1",US,USD
ACENY,ASCENTIAL PLC American Depositary Receipts - Unsponsored,US,USD
ACER,Acer Therapeutics Inc. Common Stock (DE),US,USD
ACERF,AM Gold Inc,US,USD
ACERW,Acer Therapeutics Inc,US,USD
ACES,ALPS Clean Energy ETF,US,USD
ACET,"Adicet Bio, Inc. Common Stock",US,USD
ACETQ,Aceto Corp.,US,USD
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,US,USD
ACEVU,ACE Convergence Acquisition Corp. Unit,US,USD
ACEVW,ACE Convergence Acquisition Corp. Warrant,US,USD
ACEXF,SEVEN ACES LTD  Ordinary Shares,US,USD
ACEYY,"Acer, Inc. (New) Sponsored Global Depository Receipt Reg S (Taiwan)",US,USD
ACEZ,"Ariel Clean Energy, Inc. Common Stock",US,USD
ACEZD,Qiansui International Group Co. Ltd. Common Stock,US,USD
ACFC,Atlantic Coast Financial Corp,US,USD
ACFFF,Accordia Golf Tr Unit (Singapore),US,USD
ACFL,"AMC Financial Holdings, Inc. Common Stock",US,BDT
ACFN,"Acorn Energy, Inc.",US,USD
ACG,Autocorp Holding Public Company Limited,US,THB
ACGBF,Agricultural Bank of China Ordinary Shares  SHS H  (China),US,USD
ACGBY,Agricultural Bank of China Unsponsored American Depository Receipt (China),US,USD
ACGFF,Accordia Golf Co.Ltd,US,USD
ACGFY,Accordia Golf Co.Ltd,US,USD
ACGI,"Amacore Group, Inc. (The) Class A Common Stock",US,USD
ACGJ,ACI Global Corporation Common Stock,US,USD
ACGL,Arch Capital Group Ltd. Common Stock,US,USD
ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",US,USD
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,US,USD
ACGPF,Accell Group NV Heerenveen Ordinary Shares (Netherlands),US,USD
ACGX,"Alliance Creative Group, Inc. Common Stock",US,USD
ACGXD,Alliance Creative Group Inc,US,USD
ACGYF,Subsea 7 SA Ordinary Shares (Luxembourg),US,USD
ACH,Alum Corp of China Limited,US,USD
ACHC,"Acadia Healthcare Company, Inc. Common Stock",US,USD
ACHFF,ARch Biopartners Inc. Ordinary Shares (Canada),US,USD
ACHKF,ACHIKO AG NAMEN AKT Ordinary Shares,US,USD
ACHN,Achillion Pharmaceuticals,US,USD
ACHV,"Achieve Life Sciences, Inc. Common Shares",US,USD
ACI,"Albertsons Companies, Inc.",US,USD
ACIA,"Acacia Communications, Inc. Common Stock",US,USD
ACIC,Atlas Crest Investment Corp.,US,USD
ACIC U,"Atlas Crest Investment Corp. Units, each consisting of one Class A common stock, and one-third of on",US,USD
ACIC.WS,"Atlas Crest Investment Corp.Redeemable warrants included as part of the units, each whole warrant ex",US,USD
ACII U,"Atlas Crest Investment Corp. II Units, each consisting of one Class A common stock, $.0001 par value",US,USD
ACIIQ,Arch Coal Inc.,US,USD
ACIM,SSgA SPDR MSCI ACWI UCITS ETF,US,CHF
ACIO,Aptus Collared Income Opportunity ETF,US,USD
ACITF,Asian Citrus Holdings Ltd Ordinary Shares (Bermuda),US,USD
ACIU,AC Immune SA Common Stock,US,USD
ACIW,"ACI Worldwide, Inc. Common Stock",US,USD
ACJJF,Acom Co Ltd,US,USD
ACJJY,Acom Co Ltd  Unsponsored ADR (Japan),US,USD
ACKAF,Arcelik A.S.,US,USD
ACKAY,Arcelik A S Unsponsored ADR (Turkey),US,USD
ACKBF,ACL International Ltd.,US,USD
ACKDF,Auckland International Airport Ltd Ordinary Shares (New Zealand),US,USD
ACKIT,Ackrell SPAC Partners I Co. Subunits,US,USD
ACKIU,Ackrell SPAC Partners I Co. Units,US,USD
ACKIW,Ackrell SPAC Partners I Co. Warrants,US,USD
ACKRF,American Creek Resources Ltd Common  Shares (Canada),US,USD
ACLD,Acquire Ltd Common Stock,US,USD
ACLH,Act Clean Technologies Inc,US,USD
ACLL,"ACell, Inc. Common Stock",US,USD
ACLLF,Atco Ltd  Cl I Nv Cda Ordinary Shares,US,USD
ACLP,Accel Brands Inc,US,USD
ACLS,"Axcelis Technologies, Inc. Common Stock",US,USD
ACLTF,Atco Ltd Cl Ii Vtg Cda Ordinary Shares,US,USD
ACLZ,Accelerize Inc,US,USD
ACM,Aecom,US,USD
ACMB,Agro Capital Management Corp Common Stock,US,USD
ACMBD,Agro Capital Management Corp Common Stock,US,USD
ACMC,American Church Mortgage Co Common Stock,US,USD
ACMDY,Atlas Consolidated Mining & Development Corp American Depositary Share (Unsponsored) (Phillippines),US,USD
ACME,Acme Communications Inc,US,USD
ACMHY,Ascom Holding AG,US,USD
ACMLF,Ascom Holdings A G Bearer Shs Ordinary Shares (Switzerland),US,USD
ACMM,Accom Inc.,US,USD
ACMMY,ACOM CO LTD ADR (Japan),US,USD
ACMR,"ACM Research, Inc. Class A Common Stock",US,USD
ACMT,ACMAT Corporation Common Stock,US,USD
ACMTA,ACMAT Corporation Class A Common Stock,US,USD
ACMUY,Acom Co Ltd,US,USD
ACN,Accenture PLC,US,USD
ACNB,ACNB Corporation Common Stock,US,USD
ACND,Ascendant Digital Acquisition Corp.,US,USD
ACND U,"Ascendant Digital Acquisition Corp. Units, each consisting of one Class A ordinary share and one-hal",US,USD
ACND.WS,"Ascendant Digital Acquisition Corp. Warrants, each whole warrant exercisable for one Class A ordinar",US,USD
ACNDF,Ascendas India Trust Units (Singapore),US,USD
ACNE,Alice Cons Mines Inc Common Stock,US,USD
ACNFF,Amsterdam Commodities NV Ordinary Shares (Netherlands),US,USD
ACNI,American Community Newspapers Inc Common Stock,US,USD
ACNNF,Auscann Group Hldgs Ltd Ordinary Shares (Australia),US,USD
ACNOF,Aerocrine AB,US,USD
ACNV,"Accelera Innovations, Inc Common Stock",US,USD
ACNXF,Aconex Limited,US,USD
ACOPF,A2 Milk Co Ltd. Shs (New Zealand),US,USD
ACOPY,The A2 Milk Co Ltd Unsponsored ADR (New Zealand),US,USD
ACOR,"Acorda Therapeutics, Inc. Common Stock",US,USD
ACOSF,Archos ACT.NOM,US,USD
ACP,Aberdeen Income Credit Strategies Fund,US,USD
ACP RT,"Aberdeen Income Credit Strategies Fund Rights (expiring November 13, 2019)",US,USD
ACP RTWI,"Aberdeen Income Credit Strategies Fund Rights (expiring November 13, 2019)",US,USD
ACPGF,ACACIA PHARMA GROUP PLC ORD GBP0.02 (United Kingdom),US,USD
ACPIF,AC ENERGY CORP Common Stock,US,USD
ACPOQ,Anthracite Capital Inc.,US,USD
ACPPQ,Anthracite Capital Inc.,US,USD
ACPQF,Added Cap Inc Ordinary Shares (Canada),US,USD
ACPRF,ARCPACIFIC RES CORP Common Shares (Canada),US,USD
ACPS,AC Partners Inc. Common Stock,US,USD
ACPZF,Alicorp S.A.,US,PEN
ACR,ACRES Commercial Realty Corp.,US,USD
ACR-C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stoc,US,USD
ACRB,"Asia Carbon Industries, Inc. Common",US,USD
ACRDF,"Acreage Holdings, Inc. Class D Sub Vtg Ord Shs (Canada)",US,USD
ACRE,Ares Commercial Real Estate Corporation,US,USD
ACRFF,Accor S A (F) Ordinary Shares,US,USD
ACRFY,Accor,US,USD
ACRGF,Acreage Holdings Inc Common Shares (Canada),US,USD
ACRHF,"Acreage Holdings, Inc. Class E Sub Vtg Ord Shs (Canada)",US,USD
ACRL,"Atacama Resources International, Inc. Common Stock",US,USD
ACRS,"Aclaris Therapeutics, Inc. Common Stock",US,USD
ACRT,Actrade Financial Technologies Ltd,US,USD
ACRVF,Agellan Commercial Real Estate Investment Trust,US,USD
ACRX,"AcelRx Pharmaceuticals, Inc. Common Stock",US,USD
ACSAF,Acs Actividades de Construccion y Servicios SA Ordinary Shares (Spain),US,USD
ACSAY,ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain),US,USD
ACSBL,Access Bk Nigeria Plc Sponsored GDR Reg S (Nigeria),US,USD
ACSEF,ACS Motion Control Ltd. Common Stock,US,USD
ACSF,American Capital Senior Floating Ltd,US,USD
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,US,USD
ACSI,American Customer Satisfaction ETF,US,USD
ACSOF,Arcs Co. Ltd.,US,JPY
ACSSF,APOLLO HEALTHCARE CORP Ordinary Shares,US,USD
ACST,"Acasti Pharma, Inc. Class A Common Stock",US,USD
ACSX,A.C.Simmonds and Sons Inc,US,USD
ACSYF,Accsys Technologies plc Ordinary Shares (United Kingdom),US,USD
ACT,AdvisorShares Trust AdvisorShares Vice ETF,US,USD
ACTA,Actua Corp,US,USD
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,US,USD
ACTCU,ArcLight Clean Transition Corp. Unit,US,USD
ACTCW,ArcLight Clean Transition Corp. Warrant,US,USD
ACTFF,Asian Citrus Hldgs,US,USD
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,US,USD
ACTL,"Artec Global Media, Inc. Common Stock",US,USD
ACTPF,Ascent Resources plc London Ordinary Shares,US,USD
ACTRF,Ascott Residence Trust,US,USD
ACTS,Actions Semiconductor Co Ltd,US,USD
ACTT,Act II Global Acquisition Corp. Class A Ordinary Shares,US,USD
ACTTU,Act II Global Acquisition Corp. Unit,US,USD
ACTTW,Act II Global Acquisition Corp. Warrant,US,USD
ACTV,LeaderShares Activist Leaders ETF,US,USD
ACTX,"Advanced Container Technologies, Inc. Common Stock",US,USD
ACTZF,Accton Technology Corp.,US,TWD
ACU,Acme United Corporation,US,USD
ACUCF,ACUCORT AB Ordinary Shares,US,USD
ACUIF,AcuityAds Hldgs Inc Ordinary Shares (Canada),US,USD
ACUR,ACURA PHARMACEUTICALS INC Common Stock,US,USD
ACUS,"Acusphere, Inc. (NEW) Common Stock",US,USD
ACV,Virtus AllianzGI Diversified Income & Convertible Fund,US,USD
ACVF,American Conservative Values ETF,US,USD
ACW,Accuride Corp,US,USD
ACWEF,SSGA SPDR ETFS EUROPE I PLC ACCUM SHS EXCHANGE TRADED FUND USD (Ireland),US,USD
ACWF,iShares MSCI Global Multifactor ETF,US,USD
ACWI,iShares MSCI ACWI ETF,US,USD
ACWRF,Acceleware Ltd.  Common Shares (Canada),US,USD
ACWV,iShares MSCI Global Min Vol Factor ETF,US,USD
ACWX,iShares MSCI ACWI ex US ETF,US,USD
ACXA,Accurexa Inc,US,USD
ACXIF,Acciona Sa Ordinary Shares,US,USD
ACY,AeroCentury Corporation,US,USD
ADAC,Adama Technologies Corporation Common Stock,US,USD
ADAD,"Adaiah Distribution, Inc. Common Stock",US,USD
ADADD,"Adaiah Distribution, Inc. Common Stock",US,USD
ADAG,Adagene Inc. American Depositary Shares,US,USD
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,US,USD
ADAPL,Adelphia Recovery Trust CVV SER OLYMPUS INT,US,USD
ADBCF,ADBRI Limited Ordinary Shares,US,USD
ADBE,Adobe Inc. Common Stock,US,USD
ADBGF,ADORE BEAUTY GROUP LTD Ordinary Shares,US,USD
ADBKF,ADDIKO BK AG Common Shares  Austria(AT ),US,USD
ADBN,"Americana Distribution, Inc. Common Stock",US,USD
ADBRF,ALDEBARAN RES INC Ordinary Shares (Canada),US,USD
ADC,Agree Realty Corporation,US,USD
ADCC,Savenergy Holdings Inc,US,USD
ADCOF,Adcore Inc Common Shares (Canada),US,USD
ADCT,ADC Therapeutics SA,US,USD
